Actual,Target
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.44,0.0
2.88,0.0
4.31,0.0
4.31,0.0
5.7,0.0
4.36,0.0
5.75,0.0
7.19,6.962792
5.75,6.962792
7.19,6.962792
5.75,6.962792
7.19,6.962792
5.75,6.962792
7.19,6.962792
7.19,6.962792
7.16,6.962792
5.78,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.14,6.962792
5.79,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.16,6.962792
5.77,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
5.75,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.11,6.962792
5.82,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.17,6.962792
5.77,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.17,6.962792
5.77,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
5.75,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
5.75,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.11,6.962792
5.82,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
5.75,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
5.75,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
5.75,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.11,6.962792
5.82,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.16,6.962792
5.78,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
5.75,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.11,6.962792
5.82,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.15,6.962792
5.79,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
7.19,6.962792
