Actual,Target
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.44,0.0
1.44,0.0
2.88,0.0
4.31,0.0
5.75,0.0
5.75,7.084154
5.75,7.084154
5.75,7.084154
7.19,7.084154
5.75,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
5.75,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.16,7.084154
7.14,7.084154
5.82,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.16,7.084154
5.78,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.13,7.084154
5.8,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
5.76,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.14,7.084154
5.8,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.12,7.084154
5.81,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.16,7.084154
7.14,7.084154
5.82,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
7.19,7.084154
