Actual,Target
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.44,0.0
2.88,0.0
4.31,0.0
4.31,0.0
5.75,7.030382
5.75,7.030382
5.76,7.030382
5.75,7.030382
7.19,7.030382
7.19,7.030382
5.75,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.11,7.030382
5.82,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
5.75,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.14,7.030382
5.79,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.12,7.030382
5.81,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
5.75,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.11,7.030382
5.82,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.16,7.030382
5.78,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.16,7.030382
5.78,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
5.75,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
7.12,7.030382
5.81,7.030382
7.19,7.030382
7.19,7.030382
7.19,7.030382
